	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words	opin_polarity
0	2333_1	obviously one important features computer human interface	human interface	69--84	0	important features computer human interface	1.0
1	1805_1	good every day computing web browsing	every day computing	9--28	1	good every day computing web	1.0
2	2782_2	keyboard alright plate around cheap plastic makes hollow sound using mouse command buttons	mouse command buttons	115--136	-1	using mouse command buttons	0.0
3	1385_0	again problem right speaker not work	right speaker	29--42	-1	problem right speaker not work	-1.0
4	1423_0	my problem dell customer service	dell customer service	20--41	-1	problem dell customer service	-1.0
5	104_0	is partially due fact running windows vista	windows vista	53--66	0	running windows vista	0.0
6	398_0	accordingly i decided never purchase another hp product five year old compaq lasted 5 years hard drive crashed	hard drive	117--127	-1	years hard drive crashed	-1.0
7	2766_1	i think camera one requirements forgot check specifications one i purchased	specifications	96--110	0	forgot check specifications	0.0
8	2808_5	cords coming right power plus cords coming front headphones mic plus network connection left make messy setup cords going every direction	setup	138--143	-1	cords messy setup cords	-1.0
9	1727_0	the recent safari internet browser freaking i using firefox instead	safari internet browser	30--53	-1	recent safari internet browser freaking	-1.0
10	1440_0	my last computer toshiba cost $400 worked like charm many years	cost	29--33	1	last computer cost	0.0
11	267_0	the machine bluray player book no mention connect hdtv	bluray player	18--31	0	bluray player book	0.0
12	2219_0	the touchpad intuitive much i never want use buttons click	touchpad	4--12	1	touchpad intuitive	0.0
13	2845_1	i bought laptop performance price ratio	price	51--56	1	laptop price ratio	0.0
14	1757_2	great laptop price works well action pack games	works	28--33	1	great price works well games	1.0
15	667_0	the battery really long	battery	4--11	1	the battery really long	0.0
16	2034_0	i something else go wrong said good working order able buy warranty	warranty	101--109	-1	able buy warranty	0.0
17	2009_1	the battery never held charge longer one hour within two months stopped holding charge ten minutes	charge	27--33	-1	held charge stopped holding charge minutes	-1.0
18	2063_0	web access 3g network slow frustrating very disappointing	3g network	23--33	-1	access 3g network slow frustrating disappointing	-1.0
19	2142_0	everything mac wonderful takes little used learning getting used new system learn fast worth	system	100--106	0	used getting used new system	0.0
20	3074_0	the screen bright keyboard nice	screen	4--10	1	the screen bright keyboard nice	1.0
21	1852_0	after said warranty	warranty	35--43	0	said warranty	0.0
22	3042_2	hard disk the new editions gives hard disk space 500gb instead 320gb time taught never trust internal hard disk	internal hard disk	126--144	0	hard disk gives hard disk taught trust internal hard disk	1.0
23	2305_0	fall no cd drive found cheap also portable making best friend someone always looking space	cd drive	37--45	-1	no cd drive found also portable	-1.0
24	1370_0	when bought new hp computer dec 2008 wanted windows xp told would cost extra $159 went vista	vista	133--138	0	went vista	0.0
25	130_0	realized problem brand	brand	48--53	-1	problem brand	-1.0
26	395_0	the computer two weeks late delivery hp forgot complete required import paperwork	delivery	35--43	-1	late delivery hp	0.0
27	773_0	i tired inept service	service	23--30	-1	tired inept service	-1.0
28	2516_1	great pick portability affordability	affordability	31--44	1	pick portability affordability	0.0
29	99_0	after way many times sending thing repairs delivery service slow without laptop i no access internet thus no way tracking find i might hope see computer finally kicked bucket 2 years	delivery service	59--75	-1	delivery service slow	0.0
30	1770_0	it far exceeded expectations power storage ability	power	40--45	1	exceeded power storage	0.0
31	1187_0	another included program laughable chess game	included program	8--24	-1	another included program game	0.0
32	1376_1	it seems could updated xp done without creating vista	vista	62--67	-1	creating vista	1.0
33	460_0	then 4 months charger stopped working i forced go buy new hardware keep computer running	charger	30--37	-1	4 months charger stopped	-1.0
34	2112_0	even warranty	warranty	12--20	0	even warranty	0.0
35	1710_0	the macbook also made better computer never got virus laptop runs fast first day i bought	runs	83--87	1	got virus laptop runs	0.0
36	781_0	the dvd burner broke burning 3 dvd time	dvd burner	4--14	-1	the dvd burner broke 3 dvd time	-1.0
37	1372_3	we numerous problems vista adobe flash player quits uninstalled reinstalled internet explore quits lose whatever working also windows update appeared computer since got updated probably 400 times update	windows update	215--229	-1	windows update appeared got updated update	0.0
38	387_0	the keyboard slick quiet not bulky like laptops i past	keyboard	4--12	1	keyboard slick	0.0
39	388_3	the processor quick effective i load webpages applications	webpages	52--60	0	processor quick effective load webpages applications	1.0
40	2226_0	now i best worlds power ease mac	power	51--56	1	power ease	1.0
41	286_0	the display beyond horrible	display	4--11	-1	the display beyond horrible	-1.0
42	2644_2	it much easier navigate operating system find files runs lot faster	navigate	23--31	1	it easier navigate runs	1.0
43	1186_0	and lot writing editing problem since no forward delete key	delete key	80--91	-1	editing since no forward delete key	-1.0
44	961_0	this time mouse pad right click key work	mouse pad	16--25	-1	this time mouse pad click	0.0
45	2071_1	so i called customer support good went safety feature not affect performance i chose hide message	performance	129--140	0	affect performance	0.0
46	2711_0	seems slow occasionally run many applications ie internet tabs programs etc simultaneously	applications	50--62	1	run many applications	0.0
47	2558_0	we figure everything his pc actually ended costing $350 original mac	costing	57--64	-1	ended costing original mac	1.0
48	2752_1	i using external speaker sound good	sound	33--38	1	speaker sound good	1.0
49	1576_0	the display computer best i seen long time battery life long continent	display	4--11	1	display computer	0.0
50	2435_0	i disappointed i realized keyboard light model	keyboard	44--52	-1	keyboard model	0.0
51	1399_0	graphics awful wireless switch top rather side i used side	graphics	4--12	-1	graphics top used	1.0
52	2159_0	the battery life also relatively good	battery life	4--16	1	the battery life also relatively good	1.0
53	2863_0	the price features met needs	price	4--9	1	price features	0.0
54	2594_0	it made computer much easier use navigate	use	36--39	1	made computer use navigate	0.0
55	2336_0	i bought cordless mouse always take	cordless mouse	11--25	1	bought cordless mouse	0.0
56	1570_0	company provides ups shipping fast great	shipping	21--29	1	ups shipping fast great	1.0
57	1088_1	a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service	service	140--147	-1	of hours hours of service	0.0
58	1599_0	i not experience lot heat coming however i would highly suggest purchasing stand however due nature design macbook one large heat sink	stand	96--101	0	suggest purchasing stand	0.0
59	1969_0	i also like acer arcade really two things i liked laptop	acer arcade	16--27	1	like acer arcade	1.0
60	2622_1	reason it buy know first thing not lose value laptop price stay next year even apple decides change mode laptop value drop 10 20% unlike pc laptops drop 80%	price	117--122	1	price stay	0.0
61	926_0	but guess buy external dvd drive built type the notebook used read anything external drive	external dvd drive	37--55	-1	external dvd drive built read anything external drive	0.0
62	1986_0	i install windows within two weeks purchase soon discovered cracks screen hinges	windows	20--27	-1	windows weeks purchase	0.0
63	2837_0	mouse way way way sensitive	mouse	4--9	-1	mouse way way way sensitive	0.0
64	1691_1	the paint wears easily due keyboard farther back usual	keyboard	38--46	-1	wears easily due keyboard back usual	1.0
65	878_0	the tech store i purchased sent back eventually i got new repaired machine approximately 3 weeks later	tech store	4--14	-1	the tech store purchased got	0.0
66	956_0	i sent back found time battery faulty i got new one fixes found	battery	46--53	-1	battery faulty	-1.0
67	1964_0	this computer challenging carry handle	carry	36--41	-1	computer carry handle	0.0
68	367_0	i addicted photo booth	photo booth	17--28	1	addicted photo booth	0.0
69	1716_1	there little difficulty migration firewire cable system used ibook	ibook	102--107	0	used ibook	0.0
70	80_0	great laptop offers many great features	features	36--44	1	offers many great features	1.0
71	712_0	i love apple quick easy use	use	41--44	1	apple quick easy use	1.0
72	1192_1	the lock problems myriad causes common corrupted version appleworks render browser useless	browser	133--140	-1	appleworks render browser useless	-1.0
73	2574_0	i play lot casual games online touchpad responsive	touchpad	45--53	1	games touchpad responsive	1.0
74	1819_2	it come software installed outside windows media price i pleased condition overall product	price	81--86	1	media price	0.0
75	1399_1	graphics awful wireless switch top rather side i used side	wireless switch	31--46	-1	awful wireless switch top	-1.0
76	1377_0	you know using computer fun not aggravation especially playing games working photos	playing games	85--98	0	know especially playing games working	1.0
77	1582_0	crisp screen great battery life plenty storage	screen	6--12	1	crisp screen great life	1.0
78	76_1	i even got teenage son one features offers like ichat photobooth garage band	ichat	77--82	1	teenage one like ichat	1.0
79	277_0	the internet locked froze every time trying used command prompt would not work	internet	4--12	-1	the internet locked froze	0.0
80	207_1	learning keyboard shortcuts took minutes get used shortcuts windows machines	shortcuts	93--102	0	learning keyboard shortcuts took shortcuts machines	0.0
81	2214_0	the program came computer works beautifully	program	4--11	1	the program came	0.0
82	115_0	the battery life battery completely died course left much desired	battery life	4--16	-1	the battery life battery died left much desired	-1.0
83	2909_0	have many higher priced computers crash burn long ever got use great memory speed etc	memory	96--102	-1	great memory speed	1.0
84	2808_3	cords coming right power plus cords coming front headphones mic plus network connection left make messy setup cords going every direction	mic	80--83	-1	cords mic left	0.0
85	2649_1	the processor screams unique way apple osx 16 functions graphics routed hardware rather software	osx 16	64--70	1	unique osx 16 functions	0.0
86	634_0	i respond i not old computer way i would lose data hard drive	hard drive	87--97	-1	i respond i not old way i lose hard drive	1.0
87	1259_0	acer no help garmin could not determine problem spending 2 hours i returned purchased toshiba r700 seems even nicer i able load software no problem	software	200--208	1	problem i nicer i able load software problem	-1.0
88	2918_0	if check find notebook missing ports dual core amd intel processor	ports	68--73	0	missing ports	-1.0
89	779_0	this first dell i heard customer service lacking working improving	customer service	36--52	-1	heard customer service lacking	0.0
90	1937_0	i got back built webcam built mic shorting anytime i touched lid mind means communication fiance deployed i suffered thru would constantly reset computer able use cam mic anytime went	built webcam	21--36	-1	back built webcam built mic shorting mic went	0.0
91	1378_0	windows also shuts computer no reason without warning	windows	0--7	-1	windows shuts	0.0
92	2561_2	i wish iwork ms office came mac ms office even come pc laptops	ms office	49--58	-1	iwork ms office came mac ms office even come	0.0
93	2573_1	i upgraded memory replaced base windows 7 starter win 7 home runs fine	windows 7 starter	44--61	0	replaced base windows 7 starter 7 home	0.0
94	2447_0	its fast high definition quality videos	high definition quality	14--37	1	its fast high definition quality videos	0.0
95	899_0	the computer fast ran smoothly no problems	ran	30--33	1	fast ran smoothly problems	-1.0
96	908_0	also sister got exact laptop since cheap 8 months screen split half everyday use	screen	93--99	-1	screen split	0.0
97	1812_0	the difference whole lot fun using laptop still learning apple navigation fun comes lot cool apps	apple navigation	83--99	0	whole fun learning apple navigation fun	1.0
98	462_0	unable boot brand new laptop	boot	10--17	-1	unable boot brand	0.0
99	678_1	plenty storage 250 gb though i upgrade ram	ram	69--72	0	upgrade ram	0.0
100	2510_0	waiting i7 well worth great value price	price	58--63	1	waiting i7 well worth great value price	1.0
